study_hours_daily,study_hours_exam,time_management,reading_plan,note_taking,group_study,lecture_skip_hours,online_resources,cgpa,subjects_enrolled,coursework_score,social_media_hours,social_media_distraction,exercise_impact,Gender_Female,Gender_Male,Current Level of Studies_Bachelor's Degree,Current Level of Studies_Diploma,Current Level of Studies_Foundation,Current Level of Studies_Master's Degree,Type of Institution_Private University,Type of Institution_Public University,What is your preferred study method ?_Flashcards,What is your preferred study method ?_Group study,What is your preferred study method ?_Mind mapping,What is your preferred study method ?_Online tutorials,What is your preferred study method ?_Past year papers,What is your preferred study method ?_Self-study,Study Challenge Category_Academic Workload,Study Challenge Category_External Commitments,Study Challenge Category_Fatigue,Study Challenge Category_Lack of Motivation,Study Challenge Category_Personal Distractions,Study Challenge Category_Procrastination,Study Challenge Category_Social Media Distraction,Study Challenge Category_Time Management
3.5,6,1,1,1,1,0,1,3.75,4,90,3.5,2,1,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
1.5,6,1,1,1,0,0,1,3.75,6,60,3.5,2,1,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
3.5,6,1,1,1,1,1,1,3.75,7,45,3.5,2,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.5,6,0,1,0,1,0,1,3.75,7,60,5.0,3,1,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.5,3,1,1,0,1,0,1,2.75,4,45,5.0,3,2,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1.5,3,1,1,1,0,1,1,3.75,2,75,1.5,3,0,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
3.5,6,0,1,1,0,0,1,3.75,6,60,5.0,3,1,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1.5,6,0,1,1,0,1,1,3.75,4,90,5.0,2,0,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3.5,8,1,1,1,1,1,1,3.75,4,75,3.5,1,0,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3.5,8,1,1,1,0,1,1,3.75,6,90,5.0,2,1,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.5,3,1,1,1,0,1,1,3.75,4,90,3.5,3,0,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1.5,3,0,0,0,0,0,1,3.75,4,90,1.5,3,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1.5,3,0,1,1,0,1,1,3.25,4,60,3.5,2,2,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3.5,3,1,1,1,0,0,1,3.75,4,90,1.5,2,1,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
3.5,8,1,1,1,1,1,1,3.75,4,45,3.5,3,1,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1.5,3,1,0,1,0,1,1,3.75,4,45,5.0,3,1,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
5.0,8,1,1,1,0,0,1,3.25,6,60,5.0,3,1,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
5.0,8,1,1,0,0,1,1,3.75,6,90,3.5,1,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.5,6,0,0,0,0,0,1,3.75,7,45,5.0,3,1,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1.5,8,1,1,1,1,0,1,3.75,7,60,3.5,3,1,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1.5,8,1,1,1,1,1,1,3.75,6,90,5.0,3,3,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
3.5,6,1,1,0,1,0,1,3.75,6,90,5.0,3,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3.5,8,1,1,1,1,0,1,3.75,7,60,3.5,1,1,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.5,8,0,0,1,0,0,1,3.75,7,60,5.0,3,2,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.5,6,1,1,1,0,0,1,3.75,7,60,3.5,1,0,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.5,1,1,1,1,1,0,1,3.75,7,90,5.0,1,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1.5,6,0,1,1,1,0,1,3.75,7,75,1.5,2,1,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.5,3,0,1,0,0,1,1,3.75,6,45,5.0,3,0,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
5.0,8,0,1,1,0,3,1,2.75,2,60,5.0,3,1,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.5,6,1,1,1,1,0,1,3.75,6,45,3.5,2,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
3.5,6,1,1,1,1,0,1,3.75,7,60,1.5,1,2,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0.5,8,0,1,0,1,0,1,3.75,6,75,5.0,2,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.5,3,1,1,1,1,0,1,3.25,7,45,1.5,2,3,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0.5,6,1,1,0,1,0,1,3.75,7,90,5.0,3,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1.5,8,1,1,1,1,0,1,3.75,7,60,5.0,3,1,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
