Timestamp,Gender,Current Level of Studies,Type of Institution,What is your preferred study method ?,How many hours do you study per day?,How many hours do you study per day during examination period?  ,Do you organise your time ?,Do you have a reading plan before exams?  ,Do you take notes in class?  ,Do you attend group study sessions with classmates?  ,How many hours of lectures do you skip per week? ,Do you use internet resources to improve academic performance?  ,What is your current CGPA ?,Number of subjects enrolled previous semester ?,Average carry mark / coursework (%) in previous semester,"On average, how many hours per day do you spend on social media instead of studying?  ",How often does social media distract you from studying?  ,Do you feel that physical exercise or sports affects your available study time?  ,What do you think is your biggest challenge when it comes to managing your study time?
3/13/2026 17:18:07,Male,Bachelor's Degree,Private University,Past year papers,3–4 hours,5–7 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,3 – 4 subjects,80-100%,3–4 hours,Often,Sometimes,Overloaded assignment or too much time spend on making the assignment done sometimes consuming my time to study properly.
3/13/2026 17:26:23,Female,Master's Degree,Public University,Online tutorials,1–2 hours,5–7 hours,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.50 – 4.00,5 – 6 subjects,50–69%,3–4 hours,Often,Sometimes,Dealing with group assignment that takes a lot of time when it comes to discussion and report
3/13/2026 22:20:51,Male,Bachelor's Degree,Public University,Past year papers,3–4 hours,5–7 hours,Yes,Yes,Yes,Yes,1–2 hours,Yes,3.50 – 4.00,7 or more subjects,40–49%,3–4 hours,Often,Often,During girlfriend start to call
3/13/2026 22:23:36,Female,Bachelor's Degree,Public University,Past year papers,1–2 hours,5–7 hours,No,Yes,No,Yes,None (I attend all lectures),Yes,3.50 – 4.00,7 or more subjects,50–69%,5 hours or more,Always,Sometimes,"Lack of focus and interest in the subject i’m studying. Other than that, constantly want snacks and can’t continue study without them."
3/13/2026 22:23:55,Female,Diploma,Public University,Self-study,1–2 hours,2–4 hours,Yes,Yes,No,Yes,None (I attend all lectures),Yes,2.50 – 2.99,3 – 4 subjects,40–49%,5 hours or more,Always,Often,social media 
3/13/2026 22:41:04,Male,Master's Degree,Private University,Self-study,1–2 hours,2–4 hours,Yes,Yes,Yes,No,1–2 hours,Yes,3.50 – 4.00,1 – 2 subjects,70–79%,1–2 hours,Always,Never,My motivation 
3/13/2026 22:42:59,Female,Bachelor's Degree,Public University,Past year papers,3–4 hours,5–7 hours,No,Yes,Yes,No,None (I attend all lectures),Yes,3.50 – 4.00,5 – 6 subjects,50–69%,5 hours or more,Always,Sometimes,"delaying assignments, spending too much time on phones , not making a clear study plan"
3/13/2026 22:48:49,Female,Bachelor's Degree,Private University,Self-study,1–2 hours,5–7 hours,No,Yes,Yes,No,1–2 hours,Yes,3.50 – 4.00,3 – 4 subjects,80-100%,5 hours or more,Often,Never,procrastination which i like to delay my studies and also distracted by my phone
3/13/2026 22:49:18,Female,Bachelor's Degree,Private University,Self-study,3–4 hours,8 hours or more,Yes,Yes,Yes,Yes,1–2 hours,Yes,3.50 – 4.00,3 – 4 subjects,70–79%,3–4 hours,Sometimes,Never,Feeling sleepy everytime i want to study
3/13/2026 22:52:47,Male,Bachelor's Degree,Private University,Others,5 hours or more,8 hours or more,Yes,Yes,Yes,Yes,1–2 hours,Yes,3.50 – 4.00,3 – 4 subjects,80-100%,5 hours or more,Often,Sometimes,Social Media
3/13/2026 22:53:27,Female,Bachelor's Degree,Public University,Others,1–2 hours,2–4 hours,No,Yes,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,7 or more subjects,50–69%,5 hours or more,Always,Never,My mood
